run_id,model,surface,real_split,layer,normalized_depth,real_template_accuracy,nonce_heldout_accuracy,real_to_nonce_accuracy,nonce_to_real_accuracy,transfer_mean_accuracy,centroid_nearest_accuracy,centroid_alignment_margin,overlap_template_eta2,overlap_source_eta2,source_eta2_on_pc1,token_count_r2_on_pc1,balanced_layer_score
REP01_E03,Qwen3-1.7B,base,item,0,0.0,0.5769230769230769,0.5,0.47,0.36,0.415,0.5,0.2303936779499054,0.04915153044019913,0.01788219482502439,0.14827158537057158,0.037005393507639005,1.1182601347479715
REP01_E03,Qwen3-1.7B,base,item,1,0.03571428571428571,0.8076923076923077,0.85,0.64,0.78,0.71,0.8,0.31614458560943604,0.06579766675671823,0.029297144574112442,0.2890842018066533,0.6648365679852978,1.6306382990389992
REP01_E03,Qwen3-1.7B,base,item,2,0.07142857142857142,0.8076923076923077,0.95,0.7,0.84,0.77,0.5,0.19899538159370422,0.0721052100650222,0.0988872387150695,0.06366315881250784,0.36847776720035286,1.2779887010785467
REP01_E03,Qwen3-1.7B,base,item,3,0.10714285714285714,0.7692307692307693,1.0,0.7,0.84,0.77,0.5,4.659593105316162e-05,0.06780666679855851,0.15794810631704406,0.061298328848752394,0.3676599002490602,1.0201835145517442
REP01_E03,Qwen3-1.7B,base,item,4,0.14285714285714285,0.7692307692307693,1.0,0.7,0.88,0.79,0.5,5.507469177246094e-05,0.0678141535407828,0.15794433222373142,0.061297398157740164,0.3677071991612576,1.0401839426777266
REP01_E03,Qwen3-1.7B,base,item,5,0.17857142857142858,0.7692307692307693,0.95,0.66,0.84,0.75,0.5,6.954371929168701e-05,0.06782582361670013,0.1579267055200427,0.06128836007507737,0.3677137344414428,1.0002144045888883
REP01_E03,Qwen3-1.7B,base,item,6,0.21428571428571427,0.6153846153846154,0.9,0.62,0.78,0.7,0.5,0.00010308623313903809,0.06784783117181138,0.15786715023665404,0.06124988591794213,0.3677239698067365,0.9503049435448009
REP01_E03,Qwen3-1.7B,base,item,7,0.25,0.5769230769230769,0.75,0.61,0.76,0.685,0.5,0.00013421475887298584,0.06787730560741269,0.1578119926689983,0.06121943075943435,0.36769579929331303,0.9353982722665465
REP01_E03,Qwen3-1.7B,base,item,8,0.2857142857142857,0.6153846153846154,0.85,0.65,0.74,0.6950000000000001,0.5,0.0001414269208908081,0.06788984738337,0.15775983104964345,0.06119898782122119,0.3677060074636977,0.9454550940053229
REP01_E03,Qwen3-1.7B,base,item,9,0.32142857142857145,0.5,0.85,0.63,0.68,0.655,0.5,0.00015465915203094482,0.06791970898001495,0.15774461211434823,0.06119349484049917,0.3677452940445202,0.9054737235265528
REP01_E03,Qwen3-1.7B,base,item,10,0.35714285714285715,0.5384615384615384,0.9,0.6,0.7,0.6499999999999999,0.5,0.00023126602172851562,0.06797044093912,0.15766120893720964,0.06116245342315467,0.36782564712778515,0.9006136453025726
REP01_E03,Qwen3-1.7B,base,item,11,0.39285714285714285,0.5384615384615384,0.85,0.61,0.7,0.655,0.5,0.0003406703472137451,0.06799572372531498,0.15756247132009443,0.06114226083749599,0.3678964957964926,0.9058040750779961
REP01_E03,Qwen3-1.7B,base,item,12,0.42857142857142855,0.5384615384615384,0.8,0.6,0.66,0.63,0.5,0.0005996674299240112,0.06798487802653204,0.15739097076023728,0.06107896374443763,0.36786709094601816,0.8812419239331821
REP01_E03,Qwen3-1.7B,base,item,13,0.4642857142857143,0.5,0.75,0.57,0.68,0.625,0.5,0.0006792843341827393,0.06791854727257818,0.1573818044713092,0.06108112595657879,0.36790073763576514,0.8763222954539323
REP01_E03,Qwen3-1.7B,base,item,14,0.5,0.5769230769230769,0.75,0.54,0.72,0.63,0.5,0.0007613897323608398,0.06796472319618738,0.15730072087232236,0.06104698554118277,0.367914298536908,0.8814820942258114
REP01_E03,Qwen3-1.7B,base,item,15,0.5357142857142857,0.5384615384615384,0.75,0.47,0.74,0.605,0.5,0.0009517669677734375,0.06796125497761805,0.15733916045129234,0.061068815879320164,0.36792350439667154,0.8566317304173132
REP01_E03,Qwen3-1.7B,base,item,16,0.5714285714285714,0.5384615384615384,0.75,0.5,0.72,0.61,0.5,0.0011534541845321655,0.06793956297065146,0.15743408122989563,0.06114174804417734,0.3681149901057668,0.8616906254281946
