run_id,model,surface,real_split,layer,normalized_depth,source_eta2_on_pc1,template_eta2_on_pc1,real_template_eta2_on_pc1,real_affix_eta2_on_pc1,token_count_r2_on_pc1
REP01_E03,Qwen3-1.7B,base,item,0,0.0,0.14827158537057158,0.4478810065028529,0.7772209205314974,nan,0.037005393507639005
REP01_E03,Qwen3-1.7B,base,item,1,0.03571428571428571,0.2890842018066533,0.18312218238017558,0.19179257207262496,nan,0.6648365679852978
REP01_E03,Qwen3-1.7B,base,item,2,0.07142857142857142,0.06366315881250784,0.1517531496074116,0.28602699887699373,nan,0.36847776720035286
REP01_E03,Qwen3-1.7B,base,item,3,0.10714285714285714,0.061298328848752394,0.14477608912262338,0.28738434742219876,nan,0.3676599002490602
REP01_E03,Qwen3-1.7B,base,item,4,0.14285714285714285,0.061297398157740164,0.1447838315579144,0.2873927379296124,nan,0.3677071991612576
REP01_E03,Qwen3-1.7B,base,item,5,0.17857142857142858,0.06128836007507737,0.14478784803570213,0.2873889769717478,nan,0.3677137344414428
REP01_E03,Qwen3-1.7B,base,item,6,0.21428571428571427,0.06124988591794213,0.14479796996871863,0.2873933510244417,nan,0.3677239698067365
REP01_E03,Qwen3-1.7B,base,item,7,0.25,0.06121943075943435,0.1448186960283696,0.2874083911812775,nan,0.36769579929331303
REP01_E03,Qwen3-1.7B,base,item,8,0.2857142857142857,0.06119898782122119,0.1448409551595158,0.28743635704436205,nan,0.3677060074636977
REP01_E03,Qwen3-1.7B,base,item,9,0.32142857142857145,0.06119349484049917,0.1448557479228651,0.2874485957570822,nan,0.3677452940445202
REP01_E03,Qwen3-1.7B,base,item,10,0.35714285714285715,0.06116245342315467,0.14490580200650222,0.2874583082169237,nan,0.36782564712778515
REP01_E03,Qwen3-1.7B,base,item,11,0.39285714285714285,0.06114226083749599,0.14490801818721438,0.287460673559033,nan,0.3678964957964926
REP01_E03,Qwen3-1.7B,base,item,12,0.42857142857142855,0.06107896374443763,0.14488254163847156,0.28738246825733377,nan,0.36786709094601816
REP01_E03,Qwen3-1.7B,base,item,13,0.4642857142857143,0.06108112595657879,0.14481604548123866,0.2872799067548635,nan,0.36790073763576514
REP01_E03,Qwen3-1.7B,base,item,14,0.5,0.06104698554118277,0.14486183012206952,0.28729588712906146,nan,0.367914298536908
REP01_E03,Qwen3-1.7B,base,item,15,0.5357142857142857,0.061068815879320164,0.14482993529584934,0.28728956892044477,nan,0.36792350439667154
REP01_E03,Qwen3-1.7B,base,item,16,0.5714285714285714,0.06114174804417734,0.14476015003288378,0.287240745623153,nan,0.3681149901057668
REP01_E03,Qwen3-1.7B,base,item,17,0.6071428571428571,0.06113241780375224,0.14480039344016377,0.287196793333992,nan,0.3681635301780385
REP01_E03,Qwen3-1.7B,base,item,18,0.6428571428571429,0.0612508832071785,0.14501593041581243,0.2874778366742964,nan,0.3678558382251804
REP01_E03,Qwen3-1.7B,base,item,19,0.6785714285714286,0.06045534965052595,0.14479900322075237,0.2868862526750129,nan,0.36623005947071496
REP01_E03,Qwen3-1.7B,base,item,20,0.7142857142857143,0.0603269667123526,0.14475830162666375,0.28660810979477114,nan,0.3662951022770992
REP01_E03,Qwen3-1.7B,base,item,21,0.75,0.05867873907054099,0.14531359738943492,0.28664547922641836,nan,0.36465498497220644
REP01_E03,Qwen3-1.7B,base,item,22,0.7857142857142857,0.05454197438000813,0.14608913080677505,0.28604844104470084,nan,0.3608719112858207
REP01_E03,Qwen3-1.7B,base,item,23,0.8214285714285714,0.05210924401632795,0.14612411527696062,0.2856250135779489,nan,0.3581222515339531
REP01_E03,Qwen3-1.7B,base,item,24,0.8571428571428571,0.05177626177842602,0.14617036416979953,0.28535820322745487,nan,0.35559461664784936
REP01_E03,Qwen3-1.7B,base,item,25,0.8928571428571429,0.05303339508606524,0.1466555375615322,0.2861862817085606,nan,0.35287197892642247
REP01_E03,Qwen3-1.7B,base,item,26,0.9285714285714286,0.05241579288035764,0.14517707275090874,0.2840352411208291,nan,0.3477922804862516
REP01_E03,Qwen3-1.7B,base,item,27,0.9642857142857143,0.056950945751543594,0.14431253092651702,0.28457339437899026,nan,0.35086100664449316
REP01_E03,Qwen3-1.7B,base,item,28,1.0,0.03021986653480067,0.2608487081975574,0.3299056009260796,nan,0.08030882030157518
REP01_E05b,Qwen3-1.7B,full,family,0,0.0,0.02127620822765551,0.7996822127682105,0.7997705472995105,0.0031606980472314874,0.0009807506216646202
REP01_E05b,Qwen3-1.7B,full,family,1,0.03571428571428571,0.13852540027040844,0.3692521534247939,0.35103068010733673,0.11123871580764401,0.11702680020647045
REP01_E05b,Qwen3-1.7B,full,family,2,0.07142857142857142,0.010545447446847598,0.05727645185342847,0.08240820196986227,0.08316397561104771,0.22277254314395456
REP01_E05b,Qwen3-1.7B,full,family,3,0.10714285714285714,0.00977423414215752,0.05316683161757146,0.07866120038446565,0.08043622922518934,0.22131441189910753
REP01_E05b,Qwen3-1.7B,full,family,4,0.14285714285714285,0.009768996175943867,0.05317538133066465,0.07866847933415083,0.08045524186874464,0.22137776348469
REP01_E05b,Qwen3-1.7B,full,family,5,0.17857142857142858,0.009764851277477187,0.053177785539437146,0.07866966400545967,0.08045471554253653,0.22141446170791687
REP01_E05b,Qwen3-1.7B,full,family,6,0.21428571428571427,0.009740660099811994,0.053187192875569764,0.0786675474104759,0.08047802567422982,0.22148534215073004
