run_id,model,surface,real_split,layer,normalized_depth,overlap_template_eta2,overlap_source_eta2,real_template_eta2,real_root_eta2,real_family_eta2,real_affix_eta2
REP01_E03,Qwen3-1.7B,base,item,0,0.0,0.04915153044019913,0.01788219482502439,0.22515454404108348,0.8187775941441624,nan,nan
REP01_E03,Qwen3-1.7B,base,item,1,0.03571428571428571,0.06579766675671823,0.029297144574112442,0.19370928388794612,0.8315391641099767,nan,nan
REP01_E03,Qwen3-1.7B,base,item,2,0.07142857142857142,0.0721052100650222,0.0988872387150695,0.24237431718452293,0.7330739888999961,nan,nan
REP01_E03,Qwen3-1.7B,base,item,3,0.10714285714285714,0.06780666679855851,0.15794810631704406,0.28737685788197087,0.7054007338595706,nan,nan
REP01_E03,Qwen3-1.7B,base,item,4,0.14285714285714285,0.0678141535407828,0.15794433222373142,0.2873846111546225,0.7053958694263978,nan,nan
REP01_E03,Qwen3-1.7B,base,item,5,0.17857142857142858,0.06782582361670013,0.1579267055200427,0.28738054622954756,0.7054088087234471,nan,nan
REP01_E03,Qwen3-1.7B,base,item,6,0.21428571428571427,0.06784783117181138,0.15786715023665404,0.2873832823322239,0.7054040055574665,nan,nan
REP01_E03,Qwen3-1.7B,base,item,7,0.25,0.06787730560741269,0.1578119926689983,0.2873977714339551,0.7053774616440972,nan,nan
REP01_E03,Qwen3-1.7B,base,item,8,0.2857142857142857,0.06788984738337,0.15775983104964345,0.28742498776278386,0.7053649188268869,nan,nan
REP01_E03,Qwen3-1.7B,base,item,9,0.32142857142857145,0.06791970898001495,0.15774461211434823,0.28743556111762986,0.7053570307536632,nan,nan
REP01_E03,Qwen3-1.7B,base,item,10,0.35714285714285715,0.06797044093912,0.15766120893720964,0.2874436296418734,0.7053488885123214,nan,nan
REP01_E03,Qwen3-1.7B,base,item,11,0.39285714285714285,0.06799572372531498,0.15756247132009443,0.28744196188720933,0.7053860839399163,nan,nan
REP01_E03,Qwen3-1.7B,base,item,12,0.42857142857142855,0.06798487802653204,0.15739097076023728,0.28736084827360653,0.705300359724394,nan,nan
REP01_E03,Qwen3-1.7B,base,item,13,0.4642857142857143,0.06791854727257818,0.1573818044713092,0.28726021470347324,0.7053236635268525,nan,nan
REP01_E03,Qwen3-1.7B,base,item,14,0.5,0.06796472319618738,0.15730072087232236,0.28727456018943787,0.7053460596409454,nan,nan
REP01_E03,Qwen3-1.7B,base,item,15,0.5357142857142857,0.06796125497761805,0.15733916045129234,0.28726537858261175,0.7053876308167342,nan,nan
REP01_E03,Qwen3-1.7B,base,item,16,0.5714285714285714,0.06793956297065146,0.15743408122989563,0.2872127631069048,0.7054314330946531,nan,nan
REP01_E03,Qwen3-1.7B,base,item,17,0.6071428571428571,0.06808373660854838,0.1569880337790602,0.2871153590563301,0.705581388311948,nan,nan
REP01_E03,Qwen3-1.7B,base,item,18,0.6428571428571429,0.0681690722005534,0.1568876177675805,0.2874338701179373,0.705869105635596,nan,nan
REP01_E03,Qwen3-1.7B,base,item,19,0.6785714285714286,0.06816643535357428,0.1551990851533982,0.2868535007359469,0.7057881510798761,nan,nan
REP01_E03,Qwen3-1.7B,base,item,20,0.7142857142857143,0.06888216066117472,0.15406746240276284,0.2864997972747731,0.7067372680999948,nan,nan
REP01_E03,Qwen3-1.7B,base,item,21,0.75,0.0705188836660012,0.14978494614524124,0.2863239986605767,0.7070302654692391,nan,nan
REP01_E03,Qwen3-1.7B,base,item,22,0.7857142857142857,0.07212200114589243,0.14151642981084056,0.28567904190085003,0.7071791143577495,nan,nan
REP01_E03,Qwen3-1.7B,base,item,23,0.8214285714285714,0.07325127878260115,0.13595451986235849,0.28491070328664553,0.7086792048636836,nan,nan
REP01_E03,Qwen3-1.7B,base,item,24,0.8571428571428571,0.0730564120487072,0.13386582342152162,0.2841693208479367,0.7105710993275718,nan,nan
REP01_E03,Qwen3-1.7B,base,item,25,0.8928571428571429,0.07304785256303488,0.13383586850317453,0.28419094544324736,0.7129781086992969,nan,nan
REP01_E03,Qwen3-1.7B,base,item,26,0.9285714285714286,0.07172396347835096,0.13144075707020034,0.2815891681886129,0.7138696680337163,nan,nan
REP01_E03,Qwen3-1.7B,base,item,27,0.9642857142857143,0.07111880031963086,0.13589534241128892,0.28190726312221404,0.7171882610646791,nan,nan
REP01_E03,Qwen3-1.7B,base,item,28,1.0,0.11258203771430905,0.055421741923403364,0.26895491040487657,0.7953454283008096,nan,nan
