run_id,model,surface,real_split,layer,normalized_depth,n_families,within_family_base_affix_cos,same_template_other_family_cos,different_template_cos,family_margin_vs_same_template,family_margin_vs_different_template,template_margin_inside_affix
REP01_E05b,Qwen3-1.7B,full,family,0,0.0,128,0.4612697199760478,0.0630414102510315,-0.017042422820850334,0.3982283097250163,0.47831214279689815,0.08008383307188183
REP01_E05b,Qwen3-1.7B,full,family,1,0.03571428571428571,128,0.5441807516972866,0.06952431045738194,-0.020012372830024105,0.4746564412399047,0.5641931245273107,0.08953668328740605
REP01_E05b,Qwen3-1.7B,full,family,2,0.07142857142857142,128,0.5195926965166957,0.09586432641663123,0.001295282560022315,0.4237283701000645,0.5182974139566734,0.09456904385660891
REP01_E05b,Qwen3-1.7B,full,family,3,0.10714285714285714,128,0.7282000704336975,0.7251074337400496,0.7271749568171799,0.003092636693647899,0.0010251136165175811,-0.0020675230771303177
REP01_E05b,Qwen3-1.7B,full,family,4,0.14285714285714285,128,0.7279541376283614,0.7247028169222176,0.7267046952620149,0.0032513207061437566,0.0012494423663464982,-0.0020018783397972584
REP01_E05b,Qwen3-1.7B,full,family,5,0.17857142857142858,128,0.7275117168487129,0.7239338788203895,0.7258142810314894,0.0035778380283233435,0.0016974358172234805,-0.001880402211099863
REP01_E05b,Qwen3-1.7B,full,family,6,0.21428571428571427,128,0.7271137596186945,0.7229033480398357,0.7246350022032857,0.004210411578858819,0.0024787574154088166,-0.0017316541634500027
REP01_E05b,Qwen3-1.7B,full,family,7,0.25,128,0.7266960535514153,0.7221901984885335,0.7237861156463623,0.004505855062881814,0.002909937905053006,-0.0015959171578288078
REP01_E05b,Qwen3-1.7B,full,family,8,0.2857142857142857,128,0.7263622369806645,0.7216112110763788,0.7230944009497762,0.004751025904285666,0.003267836030888316,-0.0014831898733973503
REP01_E05b,Qwen3-1.7B,full,family,9,0.32142857142857145,128,0.725785214264514,0.7205955414101481,0.7219344307668507,0.00518967285436589,0.0038507834976633237,-0.0013388893567025661
REP01_E05b,Qwen3-1.7B,full,family,10,0.35714285714285715,128,0.7246774157225075,0.7185283098369837,0.7194560253992677,0.0061491058855238645,0.005221390323239872,-0.0009277155622839928
REP01_E05b,Qwen3-1.7B,full,family,11,0.39285714285714285,128,0.7227667456461211,0.7147484067827463,0.7151153977029026,0.008018338863374774,0.007651347943218534,-0.00036699092015624046
REP01_E05b,Qwen3-1.7B,full,family,12,0.42857142857142855,128,0.7201769829301511,0.7090596817433834,0.7083194511942565,0.01111730118676768,0.011857531735894544,0.0007402305491268635
REP01_E05b,Qwen3-1.7B,full,family,13,0.4642857142857143,128,0.7193192847199359,0.7076925211586058,0.7065825280733407,0.011626763561330078,0.012736756646595238,0.0011099930852651596
REP01_E05b,Qwen3-1.7B,full,family,14,0.5,128,0.7178381044985884,0.7053811233490705,0.7039278293959796,0.012456981149517876,0.013910275102608782,0.0014532939530909061
REP01_E05b,Qwen3-1.7B,full,family,15,0.5357142857142857,128,0.7134879236504182,0.6995548950508237,0.6974197616800666,0.013933028599594555,0.016068161970351658,0.002135133370757103
REP01_E05b,Qwen3-1.7B,full,family,16,0.5714285714285714,128,0.7092472867945493,0.6930203405208886,0.6897663166746497,0.016226946273660725,0.019480970119899577,0.0032540238462388515
REP01_E05b,Qwen3-1.7B,full,family,17,0.6071428571428571,128,0.6868048850762642,0.6462469627149403,0.6355212442576885,0.04055792236132394,0.051283640818575726,0.010725718457251787
REP01_E05b,Qwen3-1.7B,full,family,18,0.6428571428571429,128,0.6677230450056367,0.6149435644038022,0.5970651074312627,0.05277948060183457,0.070657937574374,0.017878456972539425
REP01_E05b,Qwen3-1.7B,full,family,19,0.6785714285714286,128,0.6409173668441126,0.5705357361584902,0.5435682381503284,0.07038163068562242,0.0973491286937842,0.026967498008161783
REP01_E05b,Qwen3-1.7B,full,family,20,0.7142857142857143,128,0.5852322075831689,0.47349685803055763,0.4294002838432789,0.11173534955261122,0.15583192373988997,0.04409657418727875
REP01_E05b,Qwen3-1.7B,full,family,21,0.75,128,0.5307454936585184,0.3812090090941638,0.32733425172045827,0.14953648456435464,0.20341124193806015,0.053874757373705506
REP01_E05b,Qwen3-1.7B,full,family,22,0.7857142857142857,128,0.48713999367871524,0.31361409765668213,0.24366151168942451,0.1735258960220331,0.24347848198929073,0.06995258596725762
REP01_E05b,Qwen3-1.7B,full,family,23,0.8214285714285714,128,0.44656894488607424,0.254155041417107,0.1773402038961649,0.19241390346896725,0.26922874098990934,0.07681483752094209
REP01_E05b,Qwen3-1.7B,full,family,24,0.8571428571428571,128,0.4173347421495591,0.20931883109733462,0.13021172117441893,0.2080159110522245,0.2871230209751402,0.0791071099229157
REP01_E05b,Qwen3-1.7B,full,family,25,0.8928571428571429,128,0.3952169952503705,0.17757091642124578,0.09624692174838856,0.21764607882912473,0.29897007350198196,0.08132399467285722
REP01_E05b,Qwen3-1.7B,full,family,26,0.9285714285714286,128,0.37730415998879124,0.16004445374710485,0.08089255768572912,0.2172597062416864,0.2964116023030621,0.07915189606137574
REP01_E05b,Qwen3-1.7B,full,family,27,0.9642857142857143,128,0.3626014781894825,0.1465834672562778,0.06412518850993365,0.21601801093320472,0.29847628967954887,0.08245827874634415
REP01_E05b,Qwen3-1.7B,full,family,28,1.0,128,0.3601149414740976,0.10777197811876249,-0.03855911243317678,0.2523429633553351,0.3986740539072744,0.14633109055193927
REP01_E06b,Qwen3-8B,full,family,0,0.0,128,0.44700414443514863,0.05899857669277253,-0.015191687916740193,0.3880055677423761,0.4621958323518888,0.07419026460951272
REP01_E06b,Qwen3-8B,full,family,1,0.027777777777777776,128,0.5306710351418341,0.08841983390630048,-0.025559630596035277,0.44225120123553363,0.5562306657378694,0.11397946450233576
REP01_E06b,Qwen3-8B,full,family,2,0.05555555555555555,128,0.539556828453758,0.08601496090147975,-0.02703552581533586,0.4535418675522782,0.5665923542690938,0.11305048671681561
REP01_E06b,Qwen3-8B,full,family,3,0.08333333333333333,128,0.5294834770798936,0.0840552285535523,-0.029981330254457816,0.44542824852634133,0.5594648073343514,0.11403655880801011
REP01_E06b,Qwen3-8B,full,family,4,0.1111111111111111,128,0.5097178157805702,0.08999674969402349,-0.039962751247003325,0.4197210660865467,0.5496805670275735,0.12995950094102682
REP01_E06b,Qwen3-8B,full,family,5,0.1388888888888889,128,0.5390351496131743,0.09011477290187031,-0.030332387701491825,0.448920376711304,0.5693675373146662,0.12044716060336214
REP01_E06b,Qwen3-8B,full,family,6,0.16666666666666666,128,0.5094498606217173,0.07579879429259506,-0.03191362819779897,0.4336510663291222,0.5413634888195162,0.10771242249039403
REP01_E06b,Qwen3-8B,full,family,7,0.19444444444444445,128,0.7265816330909729,0.721612820867449,0.7231622282415628,0.004968812223523855,0.003419404849410057,-0.0015494073741137981
REP01_E06b,Qwen3-8B,full,family,8,0.2222222222222222,128,0.7261759621106972,0.7208589189685881,0.7223233501426876,0.0053170431421091235,0.003852611968009678,-0.0014644311740994453
REP01_E06b,Qwen3-8B,full,family,9,0.25,128,0.725760398022199,0.7194886729121208,0.7207940616644919,0.00627172511007823,0.004966336357707157,-0.0013053887523710728
REP01_E06b,Qwen3-8B,full,family,10,0.2777777777777778,128,0.7256346208564306,0.7195822284556925,0.7208503573201597,0.006052392400738071,0.004784263536270927,-0.001268128864467144
REP01_E06b,Qwen3-8B,full,family,11,0.3055555555555556,128,0.7256147576085592,0.7196488338522613,0.7208646610379219,0.005965923756297897,0.004750096570637297,-0.0012158271856606007
REP01_E06b,Qwen3-8B,full,family,12,0.3333333333333333,128,0.7254965345738298,0.7194875585846603,0.7206281372345984,0.006008975989169496,0.0048683973392313895,-0.0011405786499381065
REP01_E06b,Qwen3-8B,full,family,13,0.3611111111111111,128,0.7251856905423989,0.719080719165504,0.7201469377614558,0.006104971376894919,0.005038752780943123,-0.0010662185959517956
REP01_E06b,Qwen3-8B,full,family,14,0.3888888888888889,128,0.7247761722843525,0.7184604983776808,0.7194226407445967,0.006315673906671759,0.005353531539755818,-0.0009621423669159412
REP01_E06b,Qwen3-8B,full,family,15,0.4166666666666667,128,0.7245474460266405,0.7182453316636384,0.719148454722017,0.006302114363002098,0.005398991304623402,-0.0009031230583786964
REP01_E06b,Qwen3-8B,full,family,16,0.4444444444444444,128,0.7242802550732079,0.7178686140105128,0.718673350289464,0.006411641062695095,0.005606904783743927,-0.0008047362789511681
REP01_E06b,Qwen3-8B,full,family,17,0.4722222222222222,128,0.724462931944152,0.7182480380870402,0.7191017870791256,0.006214893857111825,0.005361144865026368,-0.0008537489920854568
REP01_E06b,Qwen3-8B,full,family,18,0.5,128,0.7240744925151437,0.7176697580143809,0.7184170372784138,0.006404734500762732,0.005657455236729891,-0.0007472792640328407
REP01_E06b,Qwen3-8B,full,family,19,0.5277777777777778,128,0.7235880764359135,0.7168954247608781,0.7174743083305657,0.00669265167503541,0.0061137681053478055,-0.0005788835696876049
REP01_E06b,Qwen3-8B,full,family,20,0.5555555555555556,128,0.7224035742929427,0.7148760692216456,0.7150531858205795,0.007527505071297069,0.007350388472363134,-0.00017711659893393517
REP01_E06b,Qwen3-8B,full,family,21,0.5833333333333334,128,0.7212172276892904,0.7129210978746414,0.7127031972631812,0.008296129814649,0.00851403042610921,0.0002179006114602089
