run_id,model,surface,probe,probe_label,layer,normalized_depth,accuracy,control_accuracy,selectivity,ngram_accuracy,top_pc_variance_ratio,edim90_fraction,effective_rank_fraction,mean_pairwise_cosine
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,0,0.0,0.5769230769230769,0.11538461538461539,0.46153846153846145,0.6538461538461539,0.05543307214975357,0.39565217391304347,0.3827512358583517,0.059349991381168365
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,1,0.03571428571428571,0.8076923076923077,0.0,0.8076923076923077,0.6538461538461539,0.052259016782045364,0.4782608695652174,0.48353015071613836,0.3520108163356781
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,2,0.07142857142857142,0.8076923076923077,0.07692307692307693,0.7307692307692308,0.6538461538461539,0.5724548101425171,0.21304347826086956,0.0590765187929845,0.3747931122779846
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,3,0.10714285714285714,0.7692307692307693,0.07692307692307693,0.6923076923076923,0.6538461538461539,0.9999123215675354,0.004347826086956522,0.004353591989473463,0.23103170096874237
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,4,0.14285714285714285,0.7692307692307693,0.07692307692307693,0.6923076923076923,0.6538461538461539,0.9998964667320251,0.004347826086956522,0.004354633660348767,0.22250384092330933
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,5,0.17857142857142858,0.7692307692307693,0.11538461538461539,0.6538461538461539,0.6538461538461539,0.9998793005943298,0.004347826086956522,0.004355698060844525,0.2992098927497864
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,6,0.21428571428571427,0.6153846153846154,0.038461538461538464,0.576923076923077,0.6538461538461539,0.9998403787612915,0.004347826086956522,0.004358040712010061,0.37966516613960266
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,7,0.25,0.5769230769230769,0.07692307692307693,0.49999999999999994,0.6538461538461539,0.999812662601471,0.004347826086956522,0.0043596631509410415,0.4243277311325073
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,8,0.2857142857142857,0.6153846153846154,0.11538461538461539,0.5,0.6538461538461539,0.9997925758361816,0.004347826086956522,0.004360820310034795,0.4800586998462677
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,9,0.32142857142857145,0.5,0.11538461538461539,0.3846153846153846,0.6538461538461539,0.9997584819793701,0.004347826086956522,0.004362751762157825,0.5310164093971252
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,10,0.35714285714285715,0.5384615384615384,0.15384615384615385,0.3846153846153846,0.6538461538461539,0.9996799826622009,0.004347826086956522,0.004367123251027636,0.5472961664199829
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,11,0.39285714285714285,0.5384615384615384,0.15384615384615385,0.3846153846153846,0.6538461538461539,0.9995499849319458,0.004347826086956522,0.004374240709429055,0.5792918801307678
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,12,0.42857142857142855,0.5384615384615384,0.15384615384615385,0.3846153846153846,0.6538461538461539,0.9993312954902649,0.004347826086956522,0.004385769091948168,0.6141757369041443
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,13,0.4642857142857143,0.5,0.15384615384615385,0.34615384615384615,0.6538461538461539,0.9992752075195312,0.004347826086956522,0.00438859559058105,0.6248353719711304
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,14,0.5,0.5769230769230769,0.11538461538461539,0.46153846153846145,0.6538461538461539,0.9991922974586487,0.004347826086956522,0.0043928020078329135,0.6352222561836243
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,15,0.5357142857142857,0.5384615384615384,0.07692307692307693,0.4615384615384615,0.6538461538461539,0.9990065097808838,0.004347826086956522,0.004401920298747274,0.6375209093093872
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,16,0.5714285714285714,0.5384615384615384,0.07692307692307693,0.4615384615384615,0.6538461538461539,0.9987617135047913,0.004347826086956522,0.004413949568549989,0.6495286226272583
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,17,0.6071428571428571,0.5769230769230769,0.07692307692307693,0.49999999999999994,0.6538461538461539,0.9966023564338684,0.004347826086956522,0.004516038860919237,0.5699270367622375
REP01_E03,Qwen3-1.7B,base,real_templates_random,real templates,18,0.6428571428571429,0.6153846153846154,0.038461538461538464,0.576923076923077,0.6538461538461539,0.995235025882721,0.004347826086956522,0.004577141495924555,0.5865043997764587
