run_id,model,surface,real_split,probe,probe_label,removed_pcs,peak_accuracy,peak_layer,mean_accuracy,early_accuracy,middle_accuracy,late_accuracy,accuracy_per_layer
REP01_E06,Qwen3-8B,base,item,train_nonce_test_real_overlap,nonce -> real,10,0.36,3,0.21837837837837842,0.25333333333333335,0.18555555555555556,0.246,0.180000 0.120000 0.320000 0.360000 0.320000 0.280000 0.180000 0.240000 0.280000 0.300000 0.240000 0.160000 0.180000 0.120000 0.140000 0.260000 0.200000 0.160000 0.140000 0.140000 0.120000 0.140000 0.160000 0.180000 0.200000 0.220000 0.280000 0.260000 0.240000 0.260000 0.280000 0.220000 0.280000 0.260000 0.240000 0.160000 0.260000
REP01_E06b,Qwen3-8B,full,family,real_templates_random,real templates,0,0.9305555555555556,6,0.7597597597597598,0.8317901234567902,0.7770061728395061,0.6638888888888889,0.486111 0.722222 0.861111 0.875000 0.902778 0.888889 0.930556 0.916667 0.902778 0.902778 0.875000 0.833333 0.819444 0.819444 0.805556 0.791667 0.763889 0.722222 0.708333 0.708333 0.750000 0.750000 0.750000 0.722222 0.763889 0.777778 0.722222 0.708333 0.694444 0.666667 0.652778 0.652778 0.652778 0.652778 0.666667 0.638889 0.652778
REP01_E06b,Qwen3-8B,full,family,real_templates_random,real templates,1,0.9305555555555556,6,0.7759009009009009,0.8271604938271606,0.7885802469135803,0.7069444444444446,0.500000 0.708333 0.861111 0.875000 0.861111 0.875000 0.930556 0.916667 0.916667 0.888889 0.875000 0.861111 0.819444 0.819444 0.777778 0.777778 0.763889 0.722222 0.763889 0.750000 0.777778 0.722222 0.750000 0.750000 0.763889 0.805556 0.805556 0.750000 0.763889 0.722222 0.708333 0.708333 0.708333 0.708333 0.666667 0.666667 0.666667
REP01_E06b,Qwen3-8B,full,family,real_templates_random,real templates,2,0.9305555555555556,8,0.7695195195195195,0.8209876543209877,0.7800925925925926,0.7041666666666666,0.569444 0.694444 0.847222 0.833333 0.875000 0.875000 0.847222 0.916667 0.930556 0.888889 0.861111 0.819444 0.819444 0.805556 0.763889 0.736111 0.763889 0.750000 0.736111 0.722222 0.763889 0.736111 0.763889 0.763889 0.791667 0.791667 0.763889 0.763889 0.763889 0.722222 0.694444 0.722222 0.694444 0.680556 0.694444 0.652778 0.652778
REP01_E06b,Qwen3-8B,full,family,real_templates_random,real templates,5,0.8333333333333334,8,0.6542792792792792,0.6234567901234568,0.7044753086419753,0.5916666666666666,0.263889 0.291667 0.680556 0.750000 0.638889 0.638889 0.750000 0.763889 0.833333 0.750000 0.763889 0.666667 0.708333 0.722222 0.680556 0.694444 0.652778 0.611111 0.625000 0.666667 0.638889 0.638889 0.763889 0.763889 0.763889 0.791667 0.777778 0.694444 0.694444 0.652778 0.611111 0.583333 0.583333 0.527778 0.583333 0.472222 0.513889
REP01_E06b,Qwen3-8B,full,family,real_templates_random,real templates,10,0.4861111111111111,5,0.32507507507507516,0.32716049382716045,0.32175925925925924,0.32916666666666666,0.222222 0.208333 0.250000 0.333333 0.375000 0.486111 0.291667 0.388889 0.388889 0.347222 0.319444 0.250000 0.236111 0.263889 0.291667 0.319444 0.305556 0.277778 0.250000 0.263889 0.319444 0.347222 0.402778 0.402778 0.458333 0.402778 0.333333 0.347222 0.305556 0.250000 0.319444 0.319444 0.305556 0.319444 0.388889 0.333333 0.402778
REP01_E06b,Qwen3-8B,full,family,nonce_templates_heldout_roots,nonce held-out roots,0,1.0,8,0.8972972972972972,0.8833333333333333,0.8777777777777778,0.945,0.500000 0.750000 0.950000 0.950000 0.950000 0.950000 0.950000 0.950000 1.000000 1.000000 1.000000 1.000000 0.850000 0.850000 0.800000 0.750000 0.750000 0.800000 0.800000 0.850000 0.900000 0.900000 0.950000 0.900000 0.900000 0.900000 0.900000 0.900000 0.900000 0.950000 0.950000 0.950000 0.950000 1.000000 1.000000 0.950000 0.900000
REP01_E06b,Qwen3-8B,full,family,nonce_templates_heldout_roots,nonce held-out roots,1,1.0,8,0.8986486486486487,0.8833333333333333,0.8805555555555556,0.945,0.500000 0.750000 0.950000 0.950000 0.950000 0.950000 0.950000 0.950000 1.000000 1.000000 1.000000 1.000000 0.850000 0.850000 0.850000 0.750000 0.750000 0.800000 0.800000 0.850000 0.900000 0.900000 0.950000 0.900000 0.900000 0.900000 0.900000 0.900000 0.900000 0.950000 0.950000 0.950000 0.950000 1.000000 1.000000 0.950000 0.900000
REP01_E06b,Qwen3-8B,full,family,nonce_templates_heldout_roots,nonce held-out roots,2,1.0,8,0.8986486486486487,0.8777777777777778,0.8805555555555556,0.95,0.450000 0.750000 0.950000 0.950000 0.950000 0.950000 0.950000 0.950000 1.000000 1.000000 1.000000 0.950000 0.850000 0.900000 0.800000 0.750000 0.800000 0.800000 0.800000 0.850000 0.900000 0.900000 0.950000 0.900000 0.900000 0.900000 0.900000 0.900000 0.900000 0.900000 0.950000 1.000000 1.000000 1.000000 1.000000 0.950000 0.900000
REP01_E06b,Qwen3-8B,full,family,nonce_templates_heldout_roots,nonce held-out roots,5,1.0,3,0.8959459459459461,0.8944444444444445,0.8611111111111112,0.9599999999999997,0.500000 0.750000 0.950000 1.000000 1.000000 0.950000 0.950000 0.950000 1.000000 0.950000 0.950000 0.900000 0.850000 0.900000 0.850000 0.800000 0.700000 0.800000 0.800000 0.850000 0.850000 0.850000 0.850000 0.900000 0.900000 0.900000 0.900000 0.950000 0.950000 0.950000 0.950000 0.950000 0.950000 1.000000 1.000000 0.950000 0.950000
REP01_E06b,Qwen3-8B,full,family,nonce_templates_heldout_roots,nonce held-out roots,10,1.0,3,0.8932432432432431,0.8444444444444444,0.8833333333333333,0.9549999999999998,0.400000 0.750000 0.900000 1.000000 1.000000 0.900000 0.900000 0.850000 0.900000 0.950000 0.900000 0.850000 0.850000 0.850000 0.850000 0.800000 0.800000 0.800000 0.850000 0.900000 0.950000 0.900000 0.900000 0.950000 0.950000 0.950000 0.900000 0.950000 0.950000 0.950000 0.950000 0.950000 0.950000 1.000000 1.000000 0.950000 0.900000
REP01_E06b,Qwen3-8B,full,family,train_real_test_nonce_overlap,real -> nonce,0,0.89,6,0.7154054054054054,0.7477777777777779,0.7188888888888888,0.6799999999999999,0.390000 0.600000 0.730000 0.760000 0.850000 0.860000 0.890000 0.840000 0.810000 0.780000 0.770000 0.720000 0.710000 0.710000 0.690000 0.690000 0.700000 0.690000 0.680000 0.660000 0.690000 0.700000 0.720000 0.760000 0.710000 0.780000 0.780000 0.730000 0.720000 0.670000 0.690000 0.690000 0.700000 0.670000 0.670000 0.630000 0.630000
REP01_E06b,Qwen3-8B,full,family,train_real_test_nonce_overlap,real -> nonce,1,0.94,6,0.6867567567567568,0.7744444444444443,0.6799999999999999,0.6199999999999999,0.400000 0.600000 0.800000 0.800000 0.840000 0.840000 0.940000 0.900000 0.850000 0.840000 0.800000 0.720000 0.680000 0.660000 0.650000 0.660000 0.610000 0.640000 0.620000 0.610000 0.620000 0.660000 0.680000 0.710000 0.710000 0.700000 0.670000 0.680000 0.660000 0.600000 0.620000 0.610000 0.590000 0.640000 0.620000 0.550000 0.630000
REP01_E06b,Qwen3-8B,full,family,train_real_test_nonce_overlap,real -> nonce,2,0.88,7,0.6924324324324324,0.7233333333333334,0.7088888888888889,0.635,0.340000 0.560000 0.730000 0.740000 0.830000 0.850000 0.760000 0.880000 0.820000 0.780000 0.700000 0.620000 0.620000 0.710000 0.670000 0.710000 0.710000 0.700000 0.690000 0.690000 0.720000 0.720000 0.770000 0.760000 0.750000 0.740000 0.700000 0.670000 0.690000 0.620000 0.650000 0.640000 0.630000 0.640000 0.660000 0.570000 0.580000
REP01_E06b,Qwen3-8B,full,family,train_real_test_nonce_overlap,real -> nonce,5,0.75,6,0.5789189189189189,0.6088888888888889,0.5933333333333333,0.526,0.340000 0.450000 0.640000 0.650000 0.570000 0.660000 0.750000 0.730000 0.690000 0.730000 0.630000 0.570000 0.590000 0.540000 0.570000 0.570000 0.530000 0.520000 0.490000 0.540000 0.510000 0.550000 0.610000 0.670000 0.690000 0.700000 0.670000 0.610000 0.580000 0.550000 0.520000 0.510000 0.530000 0.500000 0.490000 0.410000 0.560000
REP01_E06b,Qwen3-8B,full,family,train_real_test_nonce_overlap,real -> nonce,10,0.54,10,0.3894594594594595,0.3888888888888889,0.3677777777777778,0.429,0.300000 0.220000 0.370000 0.410000 0.440000 0.480000 0.350000 0.430000 0.500000 0.470000 0.540000 0.500000 0.350000 0.340000 0.310000 0.290000 0.290000 0.280000 0.370000 0.350000 0.320000 0.280000 0.320000 0.370000 0.430000 0.440000 0.370000 0.400000 0.430000 0.430000 0.420000 0.420000 0.400000 0.430000 0.480000 0.470000 0.410000
REP01_E06b,Qwen3-8B,full,family,train_nonce_test_real_overlap,nonce -> real,0,0.9066666666666666,5,0.7021621621621622,0.7918518518518519,0.6844444444444444,0.6533333333333333,0.373333 0.700000 0.826667 0.873333 0.840000 0.906667 0.886667 0.880000 0.840000 0.886667 0.866667 0.833333 0.753333 0.753333 0.680000 0.693333 0.633333 0.593333 0.560000 0.606667 0.640000 0.586667 0.666667 0.613333 0.633333 0.666667 0.653333 0.666667 0.673333 0.700000 0.626667 0.666667 0.673333 0.660000 0.633333 0.666667 0.566667
REP01_E06b,Qwen3-8B,full,family,train_nonce_test_real_overlap,nonce -> real,1,0.8866666666666667,7,0.696936936936937,0.7762962962962965,0.6866666666666666,0.6439999999999999,0.406667 0.640000 0.806667 0.853333 0.833333 0.840000 0.853333 0.886667 0.866667 0.866667 0.833333 0.820000 0.760000 0.753333 0.686667 0.700000 0.646667 0.613333 0.566667 0.606667 0.646667 0.593333 0.673333 0.613333 0.653333 0.660000 0.666667 0.660000 0.660000 0.680000 0.626667 0.660000 0.680000 0.666667 0.640000 0.633333 0.533333
