run_id,model,surface,real_split,n_texts,n_layers,hidden_size,layer,normalized_depth,rank,pc1_anisotropy,edim90_components,edim90_fraction,effective_rank,effective_rank_fraction,participation_ratio,participation_ratio_fraction,mean_pairwise_cosine,anisotropy_bucket
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,0,0.0,230,0.05543307214975357,91,0.39565217391304347,88.03278424742089,0.3827512358583517,59.727203369140625,0.2596834929093071,0.059349991381168365,low
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,1,0.03571428571428571,230,0.052259016782045364,110,0.4782608695652174,111.21193466471182,0.48353015071613836,70.57210540771484,0.30683524090310804,0.3520108163356781,low
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,2,0.07142857142857142,230,0.5724548101425171,49,0.21304347826086956,13.587599322386435,0.0590765187929845,3.022071361541748,0.013139440702355426,0.3747931122779846,high
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,3,0.10714285714285714,230,0.9999123215675354,1,0.004347826086956522,1.0013261575788965,0.004353591989473463,1.0001753568649292,0.004348588508108387,0.23103170096874237,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,4,0.14285714285714285,230,0.9998964667320251,1,0.004347826086956522,1.0015657418802164,0.004354633660348767,1.0002070665359497,0.0043487263762432594,0.22250384092330933,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,5,0.17857142857142858,230,0.9998793005943298,1,0.004347826086956522,1.0018105539942406,0.004355698060844525,1.0002413988113403,0.004348875647005828,0.2992098927497864,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,6,0.21428571428571427,230,0.9998403787612915,1,0.004347826086956522,1.002349363762314,0.004358040712010061,1.0003193616867065,0.004349214616029159,0.37966516613960266,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,7,0.25,230,0.999812662601471,1,0.004347826086956522,1.0027225247164395,0.0043596631509410415,1.0003747940063477,0.004349455626114555,0.4243277311325073,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,8,0.2857142857142857,230,0.9997925758361816,1,0.004347826086956522,1.002988671308003,0.004360820310034795,1.0004149675369263,0.00434963029363881,0.4800586998462677,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,9,0.32142857142857145,230,0.9997584819793701,1,0.004347826086956522,1.0034329052962998,0.004362751762157825,1.0004831552505493,0.00434992676195891,0.5310164093971252,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,10,0.35714285714285715,230,0.9996799826622009,1,0.004347826086956522,1.0044383477363563,0.004367123251027636,1.0006403923034668,0.004350610401319421,0.5472961664199829,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,11,0.39285714285714285,230,0.9995499849319458,1,0.004347826086956522,1.0060753631686827,0.004374240709429055,1.0009006261825562,0.004351741852967636,0.5792918801307678,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,12,0.42857142857142855,230,0.9993312954902649,1,0.004347826086956522,1.0087268911480787,0.004385769091948168,1.0013388395309448,0.004353647128395412,0.6141757369041443,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,13,0.4642857142857143,230,0.9992752075195312,1,0.004347826086956522,1.0093769858336414,0.00438859559058105,1.0014511346817017,0.004354135368181311,0.6248353719711304,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,14,0.5,230,0.9991922974586487,1,0.004347826086956522,1.01034446180157,0.0043928020078329135,1.0016173124313354,0.004354857880136241,0.6352222561836243,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,15,0.5357142857142857,230,0.9990065097808838,1,0.004347826086956522,1.012441668711873,0.004401920298747274,1.0019898414611816,0.004356477571570355,0.6375209093093872,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,16,0.5714285714285714,230,0.9987617135047913,1,0.004347826086956522,1.0152084007664974,0.004413949568549989,1.00248122215271,0.004358614009359609,0.6495286226272583,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,17,0.6071428571428571,230,0.9966023564338684,1,0.004347826086956522,1.0386889380114246,0.004516038860919237,1.006829857826233,0.004377521120983621,0.5699270367622375,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,18,0.6428571428571429,230,0.995235025882721,1,0.004347826086956522,1.0527425440626477,0.004577141495924555,1.0095980167388916,0.00438955659451692,0.5865043997764587,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,19,0.6785714285714286,230,0.9926632046699524,1,0.004347826086956522,1.0784912976344352,0.004689092598410588,1.0148351192474365,0.004412326605423637,0.6059763431549072,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,20,0.7142857142857143,230,0.9859991669654846,1,0.004347826086956522,1.1455212488229491,0.004980527168795431,1.0285958051681519,0.0044721556746441385,0.6046269536018372,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,21,0.75,230,0.9756136536598206,1,0.004347826086956522,1.2503421171647167,0.005436270074629203,1.0506008863449097,0.004567829940630042,0.6206919550895691,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,22,0.7857142857142857,230,0.9624401330947876,1,0.004347826086956522,1.3847110475979605,0.006020482815643306,1.0795305967330933,0.004693611290143884,0.6826145648956299,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,23,0.8214285714285714,230,0.9489234089851379,1,0.004347826086956522,1.5320041242615332,0.0066608874967892745,1.1104623079299927,0.004828096990999968,0.7224754095077515,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,24,0.8571428571428571,230,0.9331888556480408,1,0.004347826086956522,1.714698904366022,0.0074552126276783565,1.1481547355651855,0.004991977111152981,0.7531120777130127,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,25,0.8928571428571429,230,0.9167819023132324,1,0.004347826086956522,1.9182146883813755,0.00834006386252772,1.1895078420639038,0.0051717732263647995,0.7965184450149536,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,26,0.9285714285714286,230,0.9014878869056702,1,0.004347826086956522,2.126976515821598,0.009247723981833034,1.2300912141799927,0.005348222670347794,0.8181019425392151,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,27,0.9642857142857143,230,0.8841793537139893,3,0.013043478260869565,2.3599111770259653,0.010260483378373762,1.2784148454666138,0.005558325415072234,0.8536310791969299,collapsed
REP01_E03,Qwen3-1.7B,base,item,230,29,2048,28,1.0,230,0.369346559047699,61,0.26521739130434785,23.570575473485516,0.1024807629281979,6.2659101486206055,0.027243087602698286,0.8709301352500916,moderate
REP01_E05b,Qwen3-1.7B,full,family,490,29,2048,0,0.0,490,0.05414612218737602,113,0.23061224489795917,109.52487948954182,0.22352016222355472,70.42833709716797,0.14373130019830196,0.058261554688215256,moderate
