model,surface,n_layers,max_pc1_anisotropy,mean_pc1_anisotropy,min_edim90_fraction,mean_edim90_fraction,min_effective_rank_fraction,mean_effective_rank_fraction,max_mean_pairwise_cosine,mean_pairwise_cosine,collapsed_layer_count,collapsed_layer_fraction,first_collapsed_layer,last_collapsed_layer
Qwen3-1.7B,base,29,0.9999123215675354,0.8805619857177652,0.004347826086956522,0.050674662668665646,0.004353591989473463,0.04004317906279736,0.8709301352500916,0.5561016774896917,25,0.8620689655172413,3,27
Qwen3-8B,base,37,0.9997564554214478,0.8223897657684378,0.004347826086956522,0.10305522914218582,0.0043629820704629485,0.07359187422065844,0.850088357925415,0.5439048314819465,29,0.7837837837837838,7,35
Fanar-1-9B,base,43,0.4227549433708191,0.10473345523310262,0.3130434782608696,0.5640040444893833,0.09824555489473218,0.4739190579660178,0.9097467660903931,0.5400914924089298,0,0.0,,
ALLaM-7B,base,33,0.9999731183052063,0.9099766051001621,0.004347826086956522,0.05810276679841895,0.004349687957635752,0.04560545911986364,0.8676537275314331,0.3808225729700291,29,0.8787878787878788,3,31
Qwen3-1.7B,full,29,0.9998534917831421,0.8565735089881666,0.0020408163265306124,0.0385643912737509,0.0020453242159116573,0.025835898895058017,0.875232458114624,0.5512234921856173,22,0.7586206896551724,3,24
Qwen3-8B,full,37,0.9995619058609009,0.8048577092185214,0.0020408163265306124,0.07170435741864298,0.0020534226703841003,0.054516471563438695,0.8528327345848083,0.5287982853683265,29,0.7837837837837838,7,35
Fanar-1-9B,full,43,0.3222777843475342,0.07723847022929857,0.23673469387755103,0.4009966777408638,0.08069393794761956,0.32019726454817554,0.9172844886779785,0.5333197498044302,0,0.0,,
ALLaM-7B,full,33,0.9999732971191406,0.9078590868210251,0.0020408163265306124,0.04632034632034634,0.002041712668741282,0.036135439086067735,0.8721591234207153,0.38630805920922395,29,0.8787878787878788,3,31
