run_id,model,surface,real_split,layer,normalized_depth,n_templates,raw_same_template_cos,raw_other_template_cos,raw_alignment_margin,centered_same_template_cos,centered_other_template_cos,centered_alignment_margin,nearest_template_accuracy,real_to_nonce_nearest_accuracy,nonce_to_real_nearest_accuracy
REP01_E03,Qwen3-1.7B,base,item,0,0.0,5,0.4078289568424225,0.27902016043663025,0.12880879640579224,0.001340813934803009,-0.22905287146568298,0.2303936779499054,0.5,0.4,0.6
REP01_E03,Qwen3-1.7B,base,item,1,0.03571428571428571,5,0.778398334980011,0.7164505124092102,0.06194782257080078,0.0424773246049881,-0.27366727590560913,0.31614458560943604,0.8,1.0,0.6
REP01_E03,Qwen3-1.7B,base,item,2,0.07142857142857142,5,0.5628962516784668,0.49235549569129944,0.07054075598716736,-0.11288011074066162,-0.31187549233436584,0.19899538159370422,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,3,0.10714285714285714,5,0.319619357585907,0.23870012164115906,0.08091923594474792,-0.1999978870153427,-0.20004448294639587,4.659593105316162e-05,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,4,0.14285714285714285,5,0.28389427065849304,0.19928795099258423,0.08460631966590881,-0.20000500977039337,-0.20006008446216583,5.507469177246094e-05,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,5,0.17857142857142858,5,0.29955750703811646,0.22736120223999023,0.07219630479812622,-0.20001113414764404,-0.20008067786693573,6.954371929168701e-05,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,6,0.21428571428571427,5,0.3468915522098541,0.28866878151893616,0.05822277069091797,-0.20002193748950958,-0.20012502372264862,0.00010308623313903809,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,7,0.25,5,0.3859695792198181,0.3313139081001282,0.05465567111968994,-0.20004205405712128,-0.20017626881599426,0.00013421475887298584,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,8,0.2857142857142857,5,0.41667309403419495,0.373851478099823,0.04282161593437195,-0.2000618427991867,-0.20020326972007751,0.0001414269208908081,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,9,0.32142857142857145,5,0.44561171531677246,0.41095009446144104,0.03466162085533142,-0.20009303092956543,-0.20024769008159637,0.00015465915203094482,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,10,0.35714285714285715,5,0.47037678956985474,0.4328969419002533,0.03747984766960144,-0.2001226842403412,-0.2003539502620697,0.00023126602172851562,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,11,0.39285714285714285,5,0.5098671317100525,0.4745284616947174,0.03533867001533508,-0.2001829445362091,-0.20052361488342285,0.0003406703472137451,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,12,0.42857142857142855,5,0.5471739768981934,0.5132532119750977,0.0339207649230957,-0.20022933185100555,-0.20082899928092957,0.0005996674299240112,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,13,0.4642857142857143,5,0.5619156360626221,0.5277554988861084,0.03416013717651367,-0.20027467608451843,-0.20095396041870117,0.0006792843341827393,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,14,0.5,5,0.5699089765548706,0.5363802313804626,0.03352874517440796,-0.20034191012382507,-0.2011032998561859,0.0007613897323608398,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,15,0.5357142857142857,5,0.5735669136047363,0.5420458316802979,0.03152108192443848,-0.2004283219575882,-0.20138008892536163,0.0009517669677734375,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,16,0.5714285714285714,5,0.5876015424728394,0.5570200681686401,0.03058147430419922,-0.2006123960018158,-0.20176585018634796,0.0011534541845321655,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,17,0.6071428571428571,5,0.5999132394790649,0.5588343739509583,0.04107886552810669,-0.20110902190208435,-0.20429210364818573,0.0031830817461013794,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,18,0.6428571428571429,5,0.6194421052932739,0.5725004076957703,0.04694169759750366,-0.2018675059080124,-0.20700649917125702,0.005138993263244629,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,19,0.6785714285714286,5,0.6481270790100098,0.6014168858528137,0.046710193157196045,-0.20248231291770935,-0.2109307497739792,0.008448436856269836,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,20,0.7142857142857143,5,0.6911115646362305,0.6407236456871033,0.0503879189491272,-0.20270609855651855,-0.21861262619495392,0.015906527638435364,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,21,0.75,5,0.7409598231315613,0.6922010779380798,0.048758745193481445,-0.2023126184940338,-0.22707371413707733,0.024761095643043518,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,22,0.7857142857142857,5,0.8137530088424683,0.7709678411483765,0.0427851676940918,-0.20063333213329315,-0.23962871730327606,0.03899538516998291,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,23,0.8214285714285714,5,0.8503032922744751,0.8157738447189331,0.03452944755554199,-0.1999780386686325,-0.2479901760816574,0.0480121374130249,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,24,0.8571428571428571,5,0.8656845092773438,0.8364213109016418,0.029263198375701904,-0.2004300355911255,-0.26196372509002686,0.06153368949890137,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,25,0.8928571428571429,5,0.8853539228439331,0.8634843826293945,0.021869540214538574,-0.20184318721294403,-0.274787962436676,0.072944775223732,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,26,0.9285714285714286,5,0.8981004953384399,0.8799588084220886,0.01814168691635132,-0.2004433572292328,-0.28252285718917847,0.08207949995994568,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,27,0.9642857142857143,5,0.9113718271255493,0.897849440574646,0.01352238655090332,-0.2063538283109665,-0.30066779255867004,0.09431396424770355,0.5,0.6,0.4
REP01_E03,Qwen3-1.7B,base,item,28,1.0,5,0.9638606905937195,0.951339602470398,0.012521088123321533,-0.03293272852897644,-0.3312511742115021,0.29831844568252563,0.5,0.6,0.4
REP01_E05b,Qwen3-1.7B,full,family,0,0.0,5,0.37678179144859314,0.2971150279045105,0.07966676354408264,-0.12708821892738342,-0.26889073848724365,0.14180251955986023,0.4,0.2,0.6
REP01_E05b,Qwen3-1.7B,full,family,1,0.03571428571428571,5,0.8027359247207642,0.7600640058517456,0.042671918869018555,-0.08279239386320114,-0.3148268461227417,0.23203444480895996,0.7,0.8,0.6
REP01_E05b,Qwen3-1.7B,full,family,2,0.07142857142857142,5,0.738339900970459,0.6704629063606262,0.06787699460983276,-0.041455190628767014,-0.3267228901386261,0.28526771068573,0.5,0.6,0.4
REP01_E05b,Qwen3-1.7B,full,family,3,0.10714285714285714,5,0.16314251720905304,0.12681257724761963,0.03632993996143341,-0.20005032420158386,-0.20029661059379578,0.00024628639221191406,0.5,0.8,0.2
REP01_E05b,Qwen3-1.7B,full,family,4,0.14285714285714285,5,0.11291936784982681,0.07403615862131119,0.038883209228515625,-0.2001045197248459,-0.2004057615995407,0.0003012418746948242,0.4,0.6,0.2
REP01_E05b,Qwen3-1.7B,full,family,5,0.17857142857142858,5,0.11741242557764053,0.08562375605106354,0.031788669526576996,-0.20022597908973694,-0.2006339281797409,0.0004079490900039673,0.4,0.6,0.2
REP01_E05b,Qwen3-1.7B,full,family,6,0.21428571428571427,5,0.18519653379917145,0.1577049195766449,0.02749161422252655,-0.20027180016040802,-0.20082826912403107,0.0005564689636230469,0.4,0.6,0.2
REP01_E05b,Qwen3-1.7B,full,family,7,0.25,5,0.24334163963794708,0.2138575315475464,0.029484108090400696,-0.20036110281944275,-0.20105448365211487,0.0006933808326721191,0.5,0.8,0.2
REP01_E05b,Qwen3-1.7B,full,family,8,0.2857142857142857,5,0.2846745550632477,0.25965064764022827,0.02502390742301941,-0.20037038624286652,-0.20114783942699432,0.0007774531841278076,0.4,0.6,0.2
REP01_E05b,Qwen3-1.7B,full,family,9,0.32142857142857145,5,0.32551226019859314,0.3055638074874878,0.019948452711105347,-0.2005530595779419,-0.20147177577018738,0.0009187161922454834,0.4,0.6,0.2
REP01_E05b,Qwen3-1.7B,full,family,10,0.35714285714285715,5,0.3620782494544983,0.33948928117752075,0.02258896827697754,-0.2006361037492752,-0.20188236236572266,0.0012462586164474487,0.4,0.6,0.2
